Name,Amenity,geometry,Competitor
Afrin Pharmacy,pharmacy,POINT(81.8482508 7.2741539),Pharmacy
New Lanka Medicals,pharmacy,POINT(81.8541497 7.2519987),Pharmacy
Orryngo Pharmacy & Channeling Center Addalaichenai,pharmacy,POINT(81.8543646 7.2481389),Pharmacy
Care point pharmacy,pharmacy,POINT(81.8536241 7.2418878),Pharmacy
Unico Wholesale pharmacy,pharmacy,POINT(81.7242617 7.242396),Pharmacy
Smart medical,pharmacy,POINT(81.8278285 7.2244747),Pharmacy
UNITRA MARKETING,pharmacy,POINT(81.8340126 7.2225984),Pharmacy
A.S.IBRAHIM,pharmacy,POINT(81.8459719 7.224645),Pharmacy
Amana Diagnostic Service,pharmacy,POINT(81.8504968 7.2282905),Pharmacy
NOVA Pharmacy,pharmacy,POINT(81.8504009 7.2280536),Pharmacy
Medi care,pharmacy,POINT(81.8506388 7.2275601),Pharmacy
New medicare pharmacy,pharmacy,POINT(81.8503771 7.2275793),Pharmacy
Bio Pharmacy,pharmacy,POINT(81.8503976 7.2268556),Pharmacy
Akkaraipattu Nursing Home (Pvt) Ltd,pharmacy,POINT(81.8499862 7.2231685),Pharmacy
Rajya Osu Sala Akkaraipattu,pharmacy,POINT(81.8501348 7.2223386),Pharmacy
AH MARKETING,pharmacy,POINT(81.8506966 7.2215168),Pharmacy
Welcome Pharmacy,pharmacy,POINT(81.8499442 7.2207575),Pharmacy
Smart medical,pharmacy,POINT(81.8497567 7.2193917),Pharmacy
JJ clinic,pharmacy,POINT(81.8481268 7.2168305),Pharmacy
NEW ELEANS MARKETING,pharmacy,POINT(81.8431361 7.2187738),Pharmacy
Marji M Pharmacy,pharmacy,POINT(81.6875567 7.298775),Pharmacy
New City Food Cabin,pharmacy,POINT(81.6728968 7.2913177),Pharmacy
à¶»à·à¶¢à·âà¶º à¶à·à·à·à¶½ Rajya Osusala,pharmacy,POINT(81.6794386 7.2912744),Pharmacy
Suwasetha Ayurveda Mega Store,pharmacy,POINT(81.6753299 7.2899718),Pharmacy
Wickrama pharmacy,pharmacy,POINT(81.6728602 7.2906824),Pharmacy
Ayurwedic pharmacy,pharmacy,POINT(81.5567239 7.2296149),Pharmacy
Hingurana Pharmacy,pharmacy,POINT(81.6727985 7.2292857),Pharmacy
Medicare Pharmacy,pharmacy,POINT(81.6728089 7.2284165),Pharmacy
Veterinary Office,pharmacy,POINT(81.0489458 7.6741913),Pharmacy
Janasuwa Channeling Center,pharmacy,POINT(81.045303 7.6745522),Pharmacy
Aloka Pharmacy,pharmacy,POINT(81.0452668 7.6723728),Pharmacy
New city channeling center,pharmacy,POINT(81.0469214 7.6694627),Pharmacy
Suwa Setha Phamacy,pharmacy,POINT(81.0417222 7.5681585),Pharmacy
nagarukkarama viharaya,pharmacy,POINT(81.0276394 7.6217657),Pharmacy
Wikrama lanka pharmacy,pharmacy,POINT(81.0168831 7.7287181),Pharmacy
Wickrama Lanka Farmacy and Phone Shope,pharmacy,POINT(81.0169511 7.7288414),Pharmacy
Sheron pharmacy& baby care,pharmacy,POINT(81.807972 7.4737705),Pharmacy
Medi Shop pharmacy and crosary,pharmacy,POINT(81.8131108 7.4353311),Pharmacy
Mercy Hospital,pharmacy,POINT(81.81294 7.437921),Pharmacy
Uthuman Son's Pharmacy,pharmacy,POINT(81.8131502 7.437622),Pharmacy
Rafudeen Pharmacy,pharmacy,POINT(81.813935 7.4332092),Pharmacy
Bizra Medicals,pharmacy,POINT(81.8140216 7.4329838),Pharmacy
Uni Med Pharmacy,pharmacy,POINT(81.8377027 7.3837887),Pharmacy
People Pharmacy,pharmacy,POINT(81.8364203 7.3868989),Pharmacy
People's Medical & Groceries,pharmacy,POINT(81.836306 7.3870223),Pharmacy
Rajya Osusala,pharmacy,POINT(81.8455968 7.3564128),Pharmacy
Best Medicals,pharmacy,POINT(81.8456841 7.3558739),Pharmacy
Multi Channeling Center & Parmacy,pharmacy,POINT(81.8460333 7.3546055),Pharmacy
SSI Pharmacy,pharmacy,POINT(81.847025 7.355904),Pharmacy
Get Well Pharmacy,pharmacy,POINT(81.8353602 7.3901846),Pharmacy
Fayas Medi Care,pharmacy,POINT(81.8345414 7.3916066),Pharmacy
Al-Bayan pharmacy sainthamaruthu,pharmacy,POINT(81.8350822 7.3927753),Pharmacy
Modern Pharmacy,pharmacy,POINT(81.8348131 7.3939123),Pharmacy
Imaad Pharmacy & Channelling,pharmacy,POINT(81.8345806 7.3941435),Pharmacy
Rambakenoya Reserviour,pharmacy,POINT(81.4071722 7.431464),Pharmacy
Unico Pharmacy mahayaoya,pharmacy,POINT(81.3564869 7.5315865),Pharmacy
Mahaoya Pharmacy,pharmacy,POINT(81.3565099 7.5314557),Pharmacy
Cemetery,pharmacy,POINT(81.765582 7.4342987),Pharmacy
