hex_id,Province,District,DS,Name,Amenity,geometry,Competitor
88611545b9fffff,Eastern,Ampara,Addalaichenai,Afrin Pharmacy,pharmacy,POINT (81.8482508 7.2741539),Pharmacy
88611545d7fffff,Eastern,Ampara,Addalaichenai,New Lanka Medicals,pharmacy,POINT (81.8541497 7.2519987),Pharmacy
88611545d7fffff,Eastern,Ampara,Addalaichenai,Orryngo Pharmacy & Channeling Center Addalaichenai,pharmacy,POINT (81.8543646 7.2481389),Pharmacy
88611545d1fffff,Eastern,Ampara,Addalaichenai,Care point pharmacy,pharmacy,POINT (81.8536241 7.2418878),Pharmacy
88611571adfffff,Eastern,Ampara,Irakkamam,Unico Wholesale pharmacy,pharmacy,POINT (81.7242617 7.242396),Pharmacy
8861154487fffff,Eastern,Ampara,Akkaraipattu,Smart medical,pharmacy,POINT (81.8278285 7.2244747),Pharmacy
8861154485fffff,Eastern,Ampara,Alayadivembu,UNITRA MARKETING,pharmacy,POINT (81.8340126 7.2225984),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,A.S.IBRAHIM,pharmacy,POINT (81.8459719 7.224645),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,Amana Diagnostic Service,pharmacy,POINT (81.8504968 7.2282905),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,NOVA Pharmacy,pharmacy,POINT (81.8504009 7.2280536),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,Medi care,pharmacy,POINT (81.8506388 7.2275601),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,New medicare pharmacy,pharmacy,POINT (81.8503771 7.2275793),Pharmacy
88611544e7fffff,Eastern,Ampara,Akkaraipattu,Bio Pharmacy,pharmacy,POINT (81.8503976 7.2268556),Pharmacy
88611544e1fffff,Eastern,Ampara,Akkaraipattu,Akkaraipattu Nursing Home (Pvt) Ltd,pharmacy,POINT (81.8499862 7.2231685),Pharmacy
88611544e1fffff,Eastern,Ampara,Akkaraipattu,Rajya Osu Sala Akkaraipattu,pharmacy,POINT (81.8501348 7.2223386),Pharmacy
88611544e1fffff,Eastern,Ampara,Akkaraipattu,AH MARKETING,pharmacy,POINT (81.8506966 7.2215168),Pharmacy
88611544e1fffff,Eastern,Ampara,Akkaraipattu,Welcome Pharmacy,pharmacy,POINT (81.8499442 7.2207575),Pharmacy
88611544e1fffff,Eastern,Ampara,Akkaraipattu,Smart medical,pharmacy,POINT (81.8497567 7.2193917),Pharmacy
88611544ebfffff,Eastern,Ampara,Alayadivembu,JJ clinic,pharmacy,POINT (81.8481268 7.2168305),Pharmacy
88611544e3fffff,Eastern,Ampara,Akkaraipattu,NEW ELEANS MARKETING,pharmacy,POINT (81.8431361 7.2187738),Pharmacy
8861156321fffff,Eastern,Ampara,Ampara,Marji M Pharmacy,pharmacy,POINT (81.6875567 7.298775),Pharmacy
886115633dfffff,Eastern,Ampara,Ampara,New City Food Cabin,pharmacy,POINT (81.6728968 7.2913177),Pharmacy
886115632bfffff,Eastern,Ampara,Ampara,à¶»à·à¶¢à·âà¶º à¶à·à·à·à¶½ Rajya Osusala,pharmacy,POINT (81.6794386 7.2912744),Pharmacy
886115633dfffff,Eastern,Ampara,Ampara,Suwasetha Ayurveda Mega Store,pharmacy,POINT (81.6753299 7.2899718),Pharmacy
886115633dfffff,Eastern,Ampara,Ampara,Wickrama pharmacy,pharmacy,POINT (81.6728602 7.2906824),Pharmacy
886115676dfffff,Eastern,Ampara,Ampara,Ayurwedic pharmacy,pharmacy,POINT (81.5567239 7.2296149),Pharmacy
8861156261fffff,Eastern,Ampara,Damana,Hingurana Pharmacy,pharmacy,POINT (81.6727985 7.2292857),Pharmacy
8861156261fffff,Eastern,Ampara,Damana,Medicare Pharmacy,pharmacy,POINT (81.6728089 7.2284165),Pharmacy
8861110303fffff,Eastern,Ampara,Dehiattakandiya,Veterinary Office,pharmacy,POINT (81.0489458 7.6741913),Pharmacy
8861110315fffff,Eastern,Ampara,Dehiattakandiya,Janasuwa Channeling Center,pharmacy,POINT (81.045303 7.6745522),Pharmacy
8861110315fffff,Eastern,Ampara,Dehiattakandiya,Aloka Pharmacy,pharmacy,POINT (81.0452668 7.6723728),Pharmacy
886111031dfffff,Eastern,Ampara,Dehiattakandiya,New city channeling center,pharmacy,POINT (81.0469214 7.6694627),Pharmacy
8861111095fffff,Eastern,Ampara,Dehiattakandiya,Suwa Setha Phamacy,pharmacy,POINT (81.0417222 7.5681585),Pharmacy
8861110201fffff,Eastern,Ampara,Dehiattakandiya,nagarukkarama viharaya,pharmacy,POINT (81.0276394 7.6217657),Pharmacy
8861110115fffff,North Central,Polonnaruwa,Dimbulagala,Wikrama lanka pharmacy,pharmacy,POINT (81.0168831 7.7287181),Pharmacy
8861110115fffff,North Central,Polonnaruwa,Dimbulagala,Wickrama Lanka Farmacy and Phone Shope,pharmacy,POINT (81.0169511 7.7288414),Pharmacy
886110b409fffff,Eastern,Batticaloa,Manmunai South & Eruvil Pattu,Sheron pharmacy& baby care,pharmacy,POINT (81.807972 7.4737705),Pharmacy
886110b63bfffff,Eastern,Ampara,Kalmunai,Medi Shop pharmacy and crosary,pharmacy,POINT (81.8131108 7.4353311),Pharmacy
886110b63bfffff,Eastern,Ampara,Kalmunai,Mercy Hospital,pharmacy,POINT (81.81294 7.437921),Pharmacy
886110b63bfffff,Eastern,Ampara,Kalmunai,Uthuman Son's Pharmacy,pharmacy,POINT (81.8131502 7.437622),Pharmacy
886110b63bfffff,Eastern,Ampara,Kalmunai,Rafudeen Pharmacy,pharmacy,POINT (81.813935 7.4332092),Pharmacy
886110b63bfffff,Eastern,Ampara,Kalmunai,Bizra Medicals,pharmacy,POINT (81.8140216 7.4329838),Pharmacy
886115796dfffff,Eastern,Ampara,Karaitivu,Uni Med Pharmacy,pharmacy,POINT (81.8377027 7.3837887),Pharmacy
8861154cb3fffff,Eastern,Ampara,Sainthamaruthu,People Pharmacy,pharmacy,POINT (81.8364203 7.3868989),Pharmacy
8861154cb3fffff,Eastern,Ampara,Sainthamaruthu,People's Medical & Groceries,pharmacy,POINT (81.836306 7.3870223),Pharmacy
8861154c99fffff,Eastern,Ampara,Nintavur,Rajya Osusala,pharmacy,POINT (81.8455968 7.3564128),Pharmacy
8861154c99fffff,Eastern,Ampara,Nintavur,Best Medicals,pharmacy,POINT (81.8456841 7.3558739),Pharmacy
8861154c99fffff,Eastern,Ampara,Nintavur,Multi Channeling Center & Parmacy,pharmacy,POINT (81.8460333 7.3546055),Pharmacy
8861154c99fffff,Eastern,Ampara,Nintavur,SSI Pharmacy,pharmacy,POINT (81.847025 7.355904),Pharmacy
8861154cb3fffff,Eastern,Ampara,Sainthamaruthu,Get Well Pharmacy,pharmacy,POINT (81.8353602 7.3901846),Pharmacy
8861157965fffff,Eastern,Ampara,Sainthamaruthu,Fayas Medi Care,pharmacy,POINT (81.8345414 7.3916066),Pharmacy
886110b659fffff,Eastern,Ampara,Sainthamaruthu,Al-Bayan pharmacy sainthamaruthu,pharmacy,POINT (81.8350822 7.3927753),Pharmacy
886110b659fffff,Eastern,Ampara,Sainthamaruthu,Modern Pharmacy,pharmacy,POINT (81.8348131 7.3939123),Pharmacy
886110b659fffff,Eastern,Ampara,Sainthamaruthu,Imaad Pharmacy & Channelling,pharmacy,POINT (81.8345806 7.3941435),Pharmacy
886111d657fffff,Eastern,Ampara,Mahaoya,Rambakenoya Reserviour,pharmacy,POINT (81.4071722 7.431464),Pharmacy
886111d5ddfffff,Eastern,Ampara,Mahaoya,Unico Pharmacy mahayaoya,pharmacy,POINT (81.3564869 7.5315865),Pharmacy
886111d5ddfffff,Eastern,Ampara,Mahaoya,Mahaoya Pharmacy,pharmacy,POINT (81.3565099 7.5314557),Pharmacy
886110b6b9fffff,Eastern,Ampara,Navithanveli,Cemetery,pharmacy,POINT (81.765582 7.4342987),Pharmacy
8861157b25fffff,Eastern,Ampara,Nintavur,Medi Trust Pharmacy,pharmacy,POINT (81.84609 7.3514273),Pharmacy
8861154cd3fffff,Eastern,Ampara,Nintavur,Medi Home Pharmacy,pharmacy,POINT (81.8508549 7.3532655),Pharmacy
8861154cdbfffff,Eastern,Ampara,Nintavur,Ayaan Pharmacy and Grocery,pharmacy,POINT (81.8520874 7.3393038),Pharmacy
8861157b2dfffff,Eastern,Ampara,Nintavur,Life Care Pharmacy,pharmacy,POINT (81.8481921 7.342795),Pharmacy
886115004bfffff,Eastern,Ampara,Pottuvil,Central Medi Pharmacy,pharmacy,POINT (81.830256 6.8719798),Pharmacy
886115023bfffff,Eastern,Ampara,Pottuvil,Arugambay Hospital Indoor Pharmacy,pharmacy,POINT (81.8311822 6.8436926),Pharmacy
